#{"t_start": 1622793068.5441957, "env_id": "Acrobot-v1"}
r,l,t
-83.0,84,39.863998
-73.0,74,39.908083
-69.0,70,39.949805
-65.0,66,39.989192
-77.0,78,40.035748
-65.0,66,40.075197
-115.0,116,40.144393
-66.0,67,40.184303
-63.0,64,40.222633
-78.0,79,40.269844
-90.0,91,40.324176
-78.0,79,40.371531
-77.0,78,40.418654
-95.0,96,40.476507
-78.0,79,40.524395
-77.0,78,40.571509
-97.0,98,40.630449
-88.0,89,40.683989
-79.0,80,40.733116
-89.0,90,40.787051
-87.0,88,40.839708
-95.0,96,40.897187
-64.0,65,40.936618
-87.0,88,40.989506
-63.0,64,41.027905
-87.0,88,41.080566
-90.0,91,41.134998
-72.0,73,41.178689
-72.0,73,41.222307
-80.0,81,41.270903
-63.0,64,41.309325
-74.0,75,41.354611
-80.0,81,41.403175
-64.0,65,41.442144
-81.0,82,41.491268
-78.0,79,41.538797
-72.0,73,41.582794
-97.0,98,41.641495
-74.0,75,41.6865
-92.0,93,41.742296
-96.0,97,41.800492
-72.0,73,41.844054
-78.0,79,41.891312
-94.0,95,41.948164
-86.0,87,42.000067
-87.0,88,42.052857
-83.0,84,42.103604
-71.0,72,42.146531
-79.0,80,42.194649
-95.0,96,42.251943
-90.0,91,42.306293
-72.0,73,42.350054
-82.0,83,42.399597
-79.0,80,42.447629
-72.0,73,42.491204
-94.0,95,42.548015
-89.0,90,42.602135
-81.0,82,42.651041
-74.0,75,42.695888
-65.0,66,42.735254
-70.0,71,42.777763
-73.0,74,42.822013
-78.0,79,42.869342
-79.0,80,42.917191
-81.0,82,42.96635
-91.0,92,43.021795
-74.0,75,43.067006
-73.0,74,43.111665
-74.0,75,43.15696
-81.0,82,43.206413
-86.0,87,43.259207
-74.0,75,43.30437
-73.0,74,43.350213
-65.0,66,43.389993
-74.0,75,43.43505
-73.0,74,43.479428
-79.0,80,43.527382
-87.0,88,43.582887
-113.0,114,43.651928
-78.0,79,43.699708
-78.0,79,43.748402
-65.0,66,43.788941
-78.0,79,43.836705
-77.0,78,43.88395
-70.0,71,43.926828
-66.0,67,43.967306
-93.0,94,44.023895
-86.0,87,44.076209
-121.0,122,44.149444
-71.0,72,44.192749
-76.0,77,44.239027
-98.0,99,44.298152
-72.0,73,44.341979
-74.0,75,44.387079
-104.0,105,44.45009
-78.0,79,44.497543
-92.0,93,44.553216
-78.0,79,44.600657
-70.0,71,44.643308
-85.0,86,44.69483
-86.0,87,44.746811
-71.0,72,44.789901
-72.0,73,44.833588
-78.0,79,44.880824
-82.0,83,44.930376
-89.0,90,44.984158
-83.0,84,45.034341
-81.0,82,45.083285
-65.0,66,45.122743
-72.0,73,45.166404
-73.0,74,45.21066
-73.0,74,45.254855
-142.0,143,45.340411
-177.0,178,45.446795
-82.0,83,45.496696
-73.0,74,45.541124
-93.0,94,45.597559
-81.0,82,45.646998
-72.0,73,45.69093
-72.0,73,45.735062
-77.0,78,45.781981
-85.0,86,45.833597
-71.0,72,45.876746
-124.0,125,45.95188
-78.0,79,45.999344
-71.0,72,46.042525
-72.0,73,46.086246
-79.0,80,46.134091
-77.0,78,46.180714
-98.0,99,46.23999
-92.0,93,46.295661
-72.0,73,46.339248
-79.0,80,46.387021
-72.0,73,46.430663
-74.0,75,46.475573
-64.0,65,46.514476
-72.0,73,46.55814
-125.0,126,46.633609
-87.0,88,46.686196
-80.0,81,46.73471
-128.0,129,46.811866
-84.0,85,46.862762
-79.0,80,46.910664
-85.0,86,46.961993
-93.0,94,47.018287
-75.0,76,47.063822
-89.0,90,47.117725
-79.0,80,47.165594
-74.0,75,47.210514
-74.0,75,47.255478
-72.0,73,47.299262
-74.0,75,47.344124
-98.0,99,47.403043
-91.0,92,47.457837
-87.0,88,47.510134
-73.0,74,47.554221
-87.0,88,47.606623
-95.0,96,47.663671
-72.0,73,47.707181
-72.0,73,47.750935
-91.0,92,47.806013
-74.0,75,47.850922
-78.0,79,47.898215
-78.0,79,47.945391
-82.0,83,47.99485
-73.0,74,48.038994
-107.0,108,48.103644
-92.0,93,48.159438
-78.0,79,48.206917
-65.0,66,48.246641
-78.0,79,48.294152
-96.0,97,48.352596
-85.0,86,48.404366
-93.0,94,48.460686
-64.0,65,48.499592
